From,To,Reason,Transfer Date,Status At Transfer
MECF,NRCF,Population Management,16-Sep-19,Sentenced
Manawatu,Rimutaka,Placement Review,16-Sep-19,Remand - Accused
MECF,NRCF,Personal Request,16-Sep-19,Remand - Convicted
Auckland,Whanganui,Judicial,16-Sep-19,Sentenced (Maximum)
SHCF,MECF,Judicial,16-Sep-19,Remand - Accused
Auckland,NRCF,Placement Review,16-Sep-19,Sentenced (Low)
SHCF,MECF,Judicial,16-Sep-19,Remand - Accused
MECF,SHCF,Judicial,16-Sep-19,Remand - Accused
Auckland,Tongariro,Placement Review,16-Sep-19,Sentenced (Minimum)
MECF,ASCF,Placement Review,16-Sep-19,Recall Outstanding
MECF,SHCF,Population Management,16-Sep-19,Remand - Accused
MECF,SHCF,Population Management,16-Sep-19,Remand - Convicted
SHCF,MECF,Judicial,16-Sep-19,Remand - Convicted
SHCF,MECF,Judicial,16-Sep-19,Remand - Accused
MECF,NRCF,Population Management,16-Sep-19,Sentenced
MECF,SHCF,Population Management,16-Sep-19,Remand - Convicted
MECF,Hawkes Bay,Judicial,16-Sep-19,Remand - Convicted
MECF,SHCF,Population Management,16-Sep-19,Remand - Convicted
SHCF,NRCF,Judicial,16-Sep-19,Remand - Accused
MECF,SHCF,Population Management,16-Sep-19,Remand - Convicted
NRCF,Auckland,Accepted for Programme,16-Sep-19,Sentenced (Low Medium)
Auckland,Hawkes Bay,Judicial,16-Sep-19,Sentenced (Maximum)
MECF,Hawkes Bay,Personal Request,16-Sep-19,Remand - Accused
MECF,SHCF,Population Management,16-Sep-19,Remand - Accused
MECF,SHCF,Population Management,16-Sep-19,Remand - Accused
Auckland,MECF,Population Management,17-Sep-19,Sentenced (High)
Hawkes Bay,Manawatu,Judicial,17-Sep-19,Remand - Accused
MECF,Auckland,Population Management,17-Sep-19,Remand - Convicted
Hawkes Bay,Christchurch,Judicial,17-Sep-19,Remand - Accused
MECF,Auckland,Population Management,17-Sep-19,Remand - Convicted
Christchurch,OCF,Personal Request,17-Sep-19,Remand - Convicted
Manawatu,Rimutaka,Population Management,17-Sep-19,Remand - Accused
Christchurch,OCF,Population Management,17-Sep-19,Remand - Accused
Hawkes Bay,Whanganui,Placement Management,17-Sep-19,Remand - Accused
SHCF,Waikeria,Judicial,17-Sep-19,Remand - Convicted
OCF,Christchurch,Judicial,17-Sep-19,Remand - Convicted
Auckland,MECF,Judicial,17-Sep-19,Remand - Accused
Waikeria,Rimutaka,Population Management,17-Sep-19,Remand - Accused
Waikeria,Rimutaka,Population Management,17-Sep-19,Remand - Convicted
OCF,Christchurch,Release,17-Sep-19,Sentenced (Low)
Christchurch,OCF,Placement Management,17-Sep-19,Remand - Accused
MECF,Auckland,Population Management,17-Sep-19,Remand - Accused
Manawatu,Rimutaka,Judicial,17-Sep-19,Remand - Convicted
Manawatu,Rimutaka,Judicial,17-Sep-19,Remand - Accused
Manawatu,Whanganui,Placement Management,17-Sep-19,Remand - Convicted
Hawkes Bay,Tongariro,Placement Review,17-Sep-19,Sentenced (Low Medium)
Manawatu,Rimutaka,Judicial,17-Sep-19,Remand - Accused
Tongariro,Rolleston,Accepted for Programme,17-Sep-19,Sentenced (Low)
Waikeria,Rimutaka,Population Management,17-Sep-19,Remand - Accused
OCF,MECF,Release,17-Sep-19,Sentenced (Low Medium)
OCF,Rimutaka,Placement Review,17-Sep-19,Sentenced (Minimum)
Hawkes Bay,OCF,Judicial,17-Sep-19,Remand - Accused
Christchurch,Rolleston,Population Management,17-Sep-19,Remand - Convicted
OCF,Rimutaka,Accepted for Programme,17-Sep-19,Sentenced (High)
Manawatu,Rimutaka,Population Management,17-Sep-19,Remand - Accused
Hawkes Bay,Rimutaka,Population Management,17-Sep-19,Recall Outstanding
Manawatu,Rolleston,Accepted for Programme,17-Sep-19,Remand - Accused
Whanganui,Rolleston,Accepted for Programme,17-Sep-19,Remand - Accused
Waikeria,Rimutaka,Population Management,17-Sep-19,Remand - Accused
MECF,Auckland,Population Management,17-Sep-19,Remand - Convicted
Auckland,MECF,Population Management,17-Sep-19,Remand - Accused
Auckland,MECF,Population Management,17-Sep-19,Remand - Accused
Christchurch,OCF,Population Management,17-Sep-19,Recall Outstanding
Waikeria,Rolleston,Accepted for Programme,17-Sep-19,Sentenced
Waikeria,Rimutaka,Population Management,17-Sep-19,Remand - Accused
Christchurch,OCF,Population Management,17-Sep-19,Remand - Accused
Waikeria,Rimutaka,Population Management,17-Sep-19,Remand - Accused
Waikeria,MECF,Release,17-Sep-19,Sentenced (Low Medium)
SHCF,Waikeria,Judicial,17-Sep-19,Remand - Convicted
Rolleston,OCF,Population Management,17-Sep-19,Sentenced (Minimum)
Christchurch,OCF,Population Management,17-Sep-19,Sentenced
Christchurch,OCF,Population Management,17-Sep-19,Remand - Convicted
Waikeria,Rimutaka,Population Management,17-Sep-19,Remand - Convicted
Rimutaka,Waikeria,Placement Review,18-Sep-19,Remand - Convicted
Waikeria,MECF,Judicial,18-Sep-19,Sentenced (Low Medium)
MECF,NRCF,Population Management,18-Sep-19,Sentenced
Christchurch,Rolleston,Accepted for Programme,18-Sep-19,Sentenced (Low)
Tongariro,Auckland,Accepted for Programme,18-Sep-19,Sentenced (Low Medium)
Christchurch,OCF,Population Management,18-Sep-19,Remand - Convicted
Christchurch,OCF,Population Management,18-Sep-19,Remand - Convicted
Rimutaka,Waikeria,Placement Review,18-Sep-19,Sentenced (High)
NRCF,MECF,Placement Management,18-Sep-19,Remand - Convicted
NRCF,Whanganui,Personal Request,18-Sep-19,Remand - Accused
Christchurch,OCF,Population Management,18-Sep-19,Remand - Accused
Rimutaka,ASCF,Placement Review,18-Sep-19,Sentenced (High)
MECF,ASCF,Placement Review,18-Sep-19,Sentenced
MECF,ASCF,Placement Review,18-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,18-Sep-19,Sentenced
Christchurch,OCF,Population Management,18-Sep-19,Sentenced
Rimutaka,Hawkes Bay,Placement Management,18-Sep-19,Remand - Accused
Rimutaka,Waikeria,Release,18-Sep-19,Sentenced (High)
Waikeria,Tongariro,Personal Request,18-Sep-19,Sentenced (Low Medium)
OCF,Invercargill,Personal Request,18-Sep-19,Sentenced (High)
MECF,NRCF,Judicial,18-Sep-19,Remand - Convicted
Hawkes Bay,SHCF,Placement Review,18-Sep-19,Sentenced (High)
Rimutaka,Manawatu,Judicial,18-Sep-19,Remand - Convicted
Manawatu,Hawkes Bay,Judicial,18-Sep-19,Remand - Accused
Rimutaka,Manawatu,Judicial,18-Sep-19,Remand - Accused
Rimutaka,Manawatu,Judicial,18-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,18-Sep-19,Sentenced
Christchurch,OCF,Population Management,18-Sep-19,Remand - Convicted
OCF,Invercargill,Placement Review,18-Sep-19,Sentenced (Low)
Christchurch,OCF,Population Management,18-Sep-19,Remand - Accused
Rimutaka,Hawkes Bay,Personal Request,18-Sep-19,Sentenced (High)
MECF,NRCF,Judicial,18-Sep-19,Remand - Accused
Auckland,NRCF,Judicial,18-Sep-19,Remand - Convicted
NRCF,MECF,Judicial,18-Sep-19,Remand - Accused
Rimutaka,Waikeria,Judicial,18-Sep-19,Remand - Accused
Rimutaka,Whanganui,Judicial,18-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,18-Sep-19,Sentenced
Whanganui,SHCF,Placement Review,18-Sep-19,Sentenced (Minimum)
MECF,ASCF,Placement Review,18-Sep-19,Sentenced (High)
MECF,NRCF,Judicial,18-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,18-Sep-19,Sentenced
MECF,NRCF,Population Management,18-Sep-19,Sentenced
OCF,Invercargill,Judicial,18-Sep-19,Remand - Accused
Manawatu,Hawkes Bay,Placement Management,18-Sep-19,Remand - Accused
MECF,NRCF,Judicial,18-Sep-19,Remand - Convicted
Rimutaka,Waikeria,Population Management,18-Sep-19,Sentenced (Low Medium)
Waikeria,Tongariro,Personal Request,18-Sep-19,Sentenced (Low Medium)
Rimutaka,Waikeria,Release,18-Sep-19,Sentenced (High)
Rimutaka,Waikeria,Personal Request,18-Sep-19,Sentenced (High)
Waikeria,Tongariro,Accepted for Programme,18-Sep-19,Remand - Accused
Manawatu,Hawkes Bay,Placement Management,18-Sep-19,Remand - Convicted
Christchurch,OCF,Population Management,18-Sep-19,Remand - Accused
Whanganui,Waikeria,Judicial,18-Sep-19,Remand - Accused
Rimutaka,Hawkes Bay,Personal Request,18-Sep-19,Sentenced (High)
MECF,ASCF,Placement Review,18-Sep-19,Sentenced (High)
Rimutaka,Whanganui,Placement Review,18-Sep-19,Remand - Accused
Christchurch,OCF,Population Management,18-Sep-19,Remand - Accused
Hawkes Bay,SHCF,Placement Review,18-Sep-19,Sentenced (Low Medium)
NRCF,Waikeria,Personal Request,18-Sep-19,Sentenced (Low)
SHCF,MECF,Judicial,19-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
ASCF,Auckland,Medical,19-Sep-19,Sentenced (Low Medium)
Waikeria,Whanganui,Personal Request,19-Sep-19,Sentenced (Low Medium)
Rolleston,Rimutaka,Placement Review,19-Sep-19,Sentenced (Minimum)
Waikeria,Whanganui,Population Management,19-Sep-19,Sentenced
Christchurch,Auckland,Placement Management,19-Sep-19,Sentenced (High)
Christchurch,Rolleston,Accepted for Programme,19-Sep-19,Sentenced
Rolleston,Rimutaka,Release,19-Sep-19,Sentenced (Low Medium)
MECF,SHCF,Population Management,19-Sep-19,Remand - Accused
Auckland,SHCF,Release,19-Sep-19,Sentenced (Low)
MECF,SHCF,Population Management,19-Sep-19,Remand - Accused
MECF,Rimutaka,Judicial,19-Sep-19,Remand - Accused
Auckland,ASCF,Placement Review,19-Sep-19,Sentenced (Minimum)
MECF,Rimutaka,Population Management,19-Sep-19,Remand - Accused
Auckland,Rimutaka,Accepted for Programme,19-Sep-19,Sentenced (Minimum)
Rimutaka,MECF,Judicial,19-Sep-19,Remand - Convicted
SHCF,NRCF,Judicial,19-Sep-19,Remand - Accused
Auckland,Waikeria,Placement Review,19-Sep-19,Sentenced (Low)
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
Rimutaka,Rolleston,Placement Review,19-Sep-19,Sentenced (Minimum)
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
MECF,SHCF,Population Management,19-Sep-19,Remand - Accused
Christchurch,Auckland,Placement Management,19-Sep-19,Recall Outstanding
MECF,Christchurch,Judicial,19-Sep-19,Remand - Accused
Waikeria,Whanganui,Population Management,19-Sep-19,Sentenced
Waikeria,MECF,Judicial,19-Sep-19,Sentenced (Low)
Rimutaka,MECF,Judicial,19-Sep-19,Remand - Convicted
MECF,SHCF,Population Management,19-Sep-19,Remand - Convicted
ASCF,MECF,Judicial,19-Sep-19,Remand - Accused
Christchurch,Waikeria,Placement Management,19-Sep-19,Sentenced (High)
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
MECF,Waikeria,Population Management,19-Sep-19,Sentenced
Waikeria,Whanganui,Population Management,19-Sep-19,Sentenced
Waikeria,Whanganui,Population Management,19-Sep-19,Remand - Convicted
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
Waikeria,Whanganui,Population Management,19-Sep-19,Sentenced
Auckland,ASCF,Placement Review,19-Sep-19,Sentenced (Low Medium)
Rolleston,Waikeria,Placement Review,19-Sep-19,Sentenced (Minimum)
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
MECF,Rimutaka,Population Management,19-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
SHCF,MECF,Judicial,19-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,19-Sep-19,Remand - Accused
Auckland,Waikeria,Placement Review,19-Sep-19,Sentenced (Minimum)
SHCF,MECF,Judicial,19-Sep-19,Remand - Convicted
MECF,SHCF,Population Management,19-Sep-19,Sentenced
MECF,ASCF,Placement Review,19-Sep-19,Sentenced (Low Medium)
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
Rolleston,Christchurch,Placement Review,19-Sep-19,Sentenced (Low)
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
Auckland,Waikeria,Population Management,19-Sep-19,Sentenced (High)
Waikeria,Whanganui,Population Management,19-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,19-Sep-19,Sentenced
MECF,SHCF,Population Management,19-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,19-Sep-19,In Transit
Waikeria,Whanganui,Population Management,19-Sep-19,Sentenced
SHCF,NRCF,Placement Review,19-Sep-19,Sentenced (Minimum)
MECF,ASCF,Placement Review,19-Sep-19,Sentenced (Low Medium)
Whanganui,Rimutaka,Population Management,20-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,20-Sep-19,Remand - Convicted
MECF,NRCF,Population Management,20-Sep-19,Sentenced
MECF,Auckland,Population Management,20-Sep-19,Remand - Accused
Waikeria,NRCF,Release,20-Sep-19,Sentenced (Low)
MECF,NRCF,Population Management,20-Sep-19,Sentenced
Rimutaka,Waikeria,Placement Review,20-Sep-19,Sentenced (High)
Waikeria,SHCF,Judicial,20-Sep-19,Remand - Accused
Invercargill,OCF,Population Management,20-Sep-19,Remand - Convicted
MECF,ASCF,Placement Review,20-Sep-19,Sentenced
Invercargill,Christchurch,Release,20-Sep-19,Sentenced (Minimum)
Waikeria,Rimutaka,Population Management,20-Sep-19,Remand - Accused
MECF,Waikeria,Placement Management,20-Sep-19,Remand - Accused
MECF,Auckland,Placement Management,20-Sep-19,Recall Outstanding
Auckland,NRCF,Personal Request,20-Sep-19,Sentenced (High)
NRCF,MECF,Judicial,20-Sep-19,Remand - Accused
MECF,Auckland,Placement Management,20-Sep-19,Sentenced
NRCF,Tongariro,Accepted for Programme,20-Sep-19,Sentenced (Low Medium)
Whanganui,Rimutaka,Population Management,20-Sep-19,Remand - Convicted
MECF,Auckland,Population Management,20-Sep-19,Remand - Convicted
ASCF,Auckland,Placement Management,20-Sep-19,Sentenced (High)
Waikeria,Rimutaka,Population Management,20-Sep-19,Remand - Accused
Invercargill,Christchurch,Judicial,20-Sep-19,Remand - Accused
Rimutaka,Hawkes Bay,Placement Review,20-Sep-19,Remand - Convicted
Manawatu,Tongariro,Population Management,20-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,20-Sep-19,Sentenced
Invercargill,OCF,Population Management,20-Sep-19,Remand - Accused
Waikeria,MECF,Placement Management,20-Sep-19,Remand - Convicted
Rimutaka,Waikeria,Placement Review,20-Sep-19,Sentenced (High)
Waikeria,Rimutaka,Population Management,20-Sep-19,Remand - Accused
Waikeria,Rimutaka,Population Management,20-Sep-19,Remand - Convicted
MECF,NRCF,Judicial,20-Sep-19,Remand - Accused
Manawatu,Tongariro,Population Management,20-Sep-19,Sentenced (Low)
Waikeria,Rimutaka,Population Management,20-Sep-19,Sentenced
Waikeria,Rimutaka,Population Management,20-Sep-19,Remand - Accused
Invercargill,OCF,Placement Review,20-Sep-19,Remand - Convicted
MECF,Auckland,Population Management,20-Sep-19,Remand - Convicted
MECF,Auckland,Population Management,20-Sep-19,Remand - Convicted
MECF,NRCF,Population Management,20-Sep-19,Sentenced
Waikeria,Rimutaka,Population Management,20-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,20-Sep-19,Sentenced
MECF,ASCF,Placement Review,20-Sep-19,Recall Outstanding
Invercargill,OCF,Population Management,20-Sep-19,Remand - Convicted
SHCF,Waikeria,Judicial,20-Sep-19,Remand - Convicted
NRCF,MECF,Judicial,20-Sep-19,Remand - Accused
Rimutaka,Waikeria,Population Management,20-Sep-19,Sentenced (High)
SHCF,Waikeria,Judicial,20-Sep-19,Remand - Accused
MECF,Auckland,Population Management,20-Sep-19,Remand - Convicted
SHCF,Waikeria,Judicial,20-Sep-19,Remand - Convicted
NRCF,MECF,Judicial,20-Sep-19,Remand - Accused
Auckland,Hawkes Bay,Accepted for Programme,23-Sep-19,Sentenced (Low Medium)
Manawatu,Rimutaka,Judicial,23-Sep-19,Remand - Accused
MECF,SHCF,Judicial,23-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,23-Sep-19,Sentenced
Auckland,Tongariro,Placement Review,23-Sep-19,Sentenced (High)
Hawkes Bay,Whanganui,Accepted for Programme,23-Sep-19,Sentenced (Low)
Auckland,ASCF,Placement Review,23-Sep-19,Sentenced (Maximum)
MECF,Whanganui,Judicial,23-Sep-19,Remand - Accused
MECF,Whanganui,Judicial,23-Sep-19,Remand - Accused
ASCF,Whanganui,Accepted for Programme,23-Sep-19,Sentenced (Low)
SHCF,MECF,Judicial,23-Sep-19,Remand - Accused
MECF,SHCF,Population Management,23-Sep-19,Remand - Accused
NRCF,MECF,Release,23-Sep-19,Sentenced (Low Medium)
NRCF,MECF,Judicial,23-Sep-19,Sentenced (Low)
MECF,ASCF,Placement Review,23-Sep-19,Remand - Accused
MECF,SHCF,Population Management,23-Sep-19,Remand - Accused
MECF,SHCF,Population Management,23-Sep-19,Remand - Accused
MECF,NRCF,Judicial,23-Sep-19,Remand - Accused
ASCF,Rimutaka,Accepted for Programme,23-Sep-19,Sentenced (High)
NRCF,Auckland,Population Management,23-Sep-19,Sentenced
Hawkes Bay,Whanganui,Accepted for Programme,23-Sep-19,Remand - Accused
Auckland,SHCF,Accepted for Programme,23-Sep-19,Sentenced (High)
SHCF,MECF,Judicial,23-Sep-19,Remand - Convicted
ASCF,Waikeria,Judicial,23-Sep-19,Sentenced (Low Medium)
Whanganui,Hawkes Bay,Placement Review,23-Sep-19,Sentenced (Low)
MECF,NRCF,Population Management,23-Sep-19,Remand - Accused
Rimutaka,Hawkes Bay,Placement Review,23-Sep-19,Sentenced (Low)
Hawkes Bay,Whanganui,Placement Management,23-Sep-19,Remand - Accused
MECF,NRCF,Population Management,23-Sep-19,Sentenced
MECF,SHCF,Population Management,23-Sep-19,Remand - Accused
Hawkes Bay,Whanganui,Accepted for Programme,23-Sep-19,Remand - Accused
SHCF,MECF,Judicial,23-Sep-19,Remand - Accused
Hawkes Bay,Whanganui,Accepted for Programme,23-Sep-19,Sentenced (High)
Auckland,NRCF,Placement Review,23-Sep-19,Sentenced (Minimum)
MECF,NRCF,Population Management,23-Sep-19,Sentenced
MECF,NRCF,Population Management,23-Sep-19,Sentenced
SHCF,Auckland,Accepted for Programme,23-Sep-19,Sentenced
MECF,Auckland,Population Management,23-Sep-19,Sentenced
SHCF,MECF,Judicial,23-Sep-19,Remand - Convicted
MECF,SHCF,Population Management,23-Sep-19,Remand - Accused
MECF,Hawkes Bay,Release,23-Sep-19,Remand - Accused
SHCF,Auckland,Accepted for Programme,23-Sep-19,Remand - Accused
SHCF,MECF,Judicial,23-Sep-19,Remand - Accused
MECF,SHCF,Population Management,23-Sep-19,Remand - Accused
Auckland,Tongariro,Personal Request,23-Sep-19,Sentenced (Minimum)
Hawkes Bay,Whanganui,Accepted for Programme,23-Sep-19,Sentenced (Low Medium)
NRCF,MECF,Release,23-Sep-19,Sentenced (Minimum)
SHCF,Auckland,Accepted for Programme,23-Sep-19,Sentenced (Low Medium)
ASCF,Hawkes Bay,Accepted for Programme,23-Sep-19,Sentenced (High)
Rimutaka,Hawkes Bay,Personal Request,23-Sep-19,Sentenced (Minimum)
Hawkes Bay,Whanganui,Accepted for Programme,23-Sep-19,Sentenced
Rimutaka,Hawkes Bay,Judicial,23-Sep-19,Remand - Accused
SHCF,MECF,Judicial,23-Sep-19,Sentenced (Low Medium)
SHCF,MECF,Judicial,23-Sep-19,Remand - Accused
SHCF,MECF,Judicial,23-Sep-19,Remand - Accused
MECF,Auckland,Population Management,24-Sep-19,Remand - Convicted
Waikeria,Whanganui,Judicial,24-Sep-19,Remand - Accused
ASCF,MECF,Judicial,24-Sep-19,Sentenced (High)
Christchurch,OCF,Population Management,24-Sep-19,Remand - Convicted
Whanganui,Rimutaka,Judicial,24-Sep-19,Remand - Accused
Christchurch,Rolleston,Accepted for Programme,24-Sep-19,Sentenced
ASCF,MECF,Judicial,24-Sep-19,Sentenced (High)
Hawkes Bay,Rimutaka,Accepted for Programme,24-Sep-19,Sentenced (Low Medium)
Arohata,ARWCF,Judicial,24-Sep-19,Remand - Accused
Auckland,MECF,Population Management,24-Sep-19,Sentenced (Maximum)
Christchurch,OCF,Placement Management,24-Sep-19,Remand - Accused
SHCF,Rimutaka,Judicial,24-Sep-19,Remand - Accused
Tongariro,Waikeria,Judicial,24-Sep-19,Sentenced (Minimum)
Waikeria,Whanganui,Placement Management,24-Sep-19,Sentenced
Christchurch,OCF,Population Management,24-Sep-19,Remand - Convicted
MECF,Auckland,Population Management,24-Sep-19,Remand - Convicted
SHCF,Whanganui,Judicial,24-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,24-Sep-19,Sentenced
OCF,Christchurch,Judicial,24-Sep-19,Remand - Convicted
Christchurch,OCF,Population Management,24-Sep-19,Sentenced
Waikeria,Whanganui,Population Management,24-Sep-19,Sentenced
Christchurch,Rolleston,Population Management,24-Sep-19,Remand - Accused
Auckland,MECF,Judicial,24-Sep-19,Remand - Accused
OCF,Rolleston,Accepted for Programme,24-Sep-19,Remand - Accused
SHCF,Rimutaka,Population Management,24-Sep-19,Remand - Accused
Christchurch,OCF,Population Management,24-Sep-19,Sentenced
Waikeria,Rimutaka,Placement Management,24-Sep-19,Sentenced (Low Medium)
MECF,Auckland,Population Management,24-Sep-19,Remand - Convicted
Hawkes Bay,Manawatu,Judicial,24-Sep-19,Remand - Accused
Auckland,MECF,Judicial,24-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,24-Sep-19,Recall Outstanding
OCF,Rolleston,Accepted for Programme,24-Sep-19,Sentenced (Minimum)
SHCF,Rimutaka,Accepted for Programme,24-Sep-19,Sentenced (High)
MECF,Auckland,Population Management,24-Sep-19,Remand - Convicted
Waikeria,Rimutaka,Placement Review,24-Sep-19,Remand - Convicted
MECF,ASCF,Placement Review,24-Sep-19,Remand - Convicted
ASCF,MECF,Judicial,24-Sep-19,Sentenced (High)
Waikeria,Rimutaka,Release,24-Sep-19,Sentenced
Christchurch,OCF,Population Management,24-Sep-19,Sentenced (Low)
SHCF,Rimutaka,Population Management,24-Sep-19,Remand - Accused
Christchurch,OCF,Population Management,24-Sep-19,Remand - Accused
Invercargill,OCF,Medical,25-Sep-19,Remand - Accused
MECF,Auckland,Population Management,25-Sep-19,In Transit
Manawatu,Hawkes Bay,Placement Management,25-Sep-19,Remand - Accused
Tongariro,Auckland,Accepted for Programme,25-Sep-19,Sentenced (Minimum)
MECF,Auckland,Population Management,25-Sep-19,Remand - Accused
Waikeria,NRCF,Personal Request,25-Sep-19,Sentenced (Low Medium)
MECF,Auckland,Population Management,25-Sep-19,Remand - Convicted
MECF,NRCF,Judicial,25-Sep-19,Remand - Convicted
NRCF,MECF,Population Management,25-Sep-19,Remand - Accused
MECF,Auckland,Personal Request,25-Sep-19,Remand - Convicted
NRCF,MECF,Population Management,25-Sep-19,Remand - Convicted
Invercargill,Rimutaka,Placement Review,25-Sep-19,Sentenced (Low Medium)
MECF,Auckland,Population Management,25-Sep-19,Remand - Convicted
MECF,NRCF,Judicial,25-Sep-19,Remand - Accused
MECF,Auckland,Population Management,25-Sep-19,Remand - Accused
Tongariro,SHCF,Accepted for Programme,25-Sep-19,Sentenced (Low Medium)
Whanganui,Waikeria,Placement Review,25-Sep-19,Sentenced (High)
Whanganui,NRCF,Placement Review,25-Sep-19,Sentenced (Low)
Rimutaka,Waikeria,Judicial,25-Sep-19,Remand - Accused
Rimutaka,Hawkes Bay,Judicial,25-Sep-19,Remand - Accused
Whanganui,Auckland,Placement Management,25-Sep-19,Sentenced (Maximum)
MECF,NRCF,Population Management,25-Sep-19,Sentenced
MECF,NRCF,Judicial,25-Sep-19,Remand - Accused
Rimutaka,SHCF,Placement Review,25-Sep-19,Recall Outstanding
MECF,NRCF,Judicial,25-Sep-19,Remand - Accused
Rimutaka,Whanganui,Placement Management,25-Sep-19,Remand - Accused
Tongariro,Auckland,Accepted for Programme,25-Sep-19,Sentenced (Minimum)
Invercargill,OCF,Placement Management,25-Sep-19,Remand - Accused
NRCF,MECF,Population Management,25-Sep-19,Remand - Accused
Waikeria,Auckland,Accepted for Programme,25-Sep-19,Sentenced
MECF,Auckland,Population Management,25-Sep-19,Sentenced
Invercargill,OCF,Placement Management,25-Sep-19,Remand - Accused
Rimutaka,MECF,Judicial,25-Sep-19,Remand - Accused
SHCF,Waikeria,Judicial,25-Sep-19,Remand - Convicted
MECF,Auckland,Population Management,25-Sep-19,Remand - Convicted
Rimutaka,MECF,Judicial,25-Sep-19,Remand - Accused
MECF,NRCF,Judicial,25-Sep-19,Remand - Convicted
Rimutaka,Waikeria,Judicial,25-Sep-19,Sentenced (High)
Whanganui,Waikeria,Personal Request,25-Sep-19,Sentenced (High)
Manawatu,Hawkes Bay,Judicial,25-Sep-19,Remand - Accused
Whanganui,Hawkes Bay,Judicial,25-Sep-19,Remand - Accused
NRCF,MECF,Judicial,25-Sep-19,Remand - Accused
Hawkes Bay,Auckland,Placement Management,25-Sep-19,Sentenced (Maximum)
Rimutaka,Waikeria,Judicial,25-Sep-19,Remand - Convicted
Rimutaka,Hawkes Bay,Judicial,25-Sep-19,Sentenced (High)
Invercargill,Rimutaka,Personal Request,25-Sep-19,Sentenced (Low Medium)
Rimutaka,MECF,Judicial,25-Sep-19,Remand - Accused
ASCF,Auckland,Accepted for Programme,26-Sep-19,Sentenced (Low)
Auckland,ASCF,Personal Request,26-Sep-19,Sentenced (High)
Rimutaka,Tongariro,Population Management,26-Sep-19,Sentenced (High)
Auckland,SHCF,Placement Review,26-Sep-19,Sentenced (Minimum)
MECF,SHCF,Population Management,26-Sep-19,Remand - Convicted
Auckland,SHCF,Placement Review,26-Sep-19,Sentenced (Low)
SHCF,MECF,Judicial,26-Sep-19,Remand - Convicted
ASCF,NRCF,Personal Request,26-Sep-19,Sentenced (Minimum)
Auckland,Waikeria,Placement Review,26-Sep-19,Sentenced (Minimum)
MECF,SHCF,Population Management,26-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,26-Sep-19,Sentenced
SHCF,Tongariro,Judicial,26-Sep-19,Sentenced (Low)
MECF,Waikeria,Judicial,26-Sep-19,Remand - Accused
SHCF,MECF,Judicial,26-Sep-19,Remand - Convicted
MECF,Waikeria,Population Management,26-Sep-19,Sentenced
MECF,SHCF,Population Management,26-Sep-19,Remand - Accused
SHCF,MECF,Judicial,26-Sep-19,Remand - Accused
ASCF,Waikeria,Accepted for Programme,26-Sep-19,Sentenced (Low)
SHCF,ASCF,Placement Review,26-Sep-19,Sentenced (Low)
MECF,SHCF,Population Management,26-Sep-19,Remand - Convicted
Rimutaka,MECF,Judicial,26-Sep-19,Remand - Accused
MECF,SHCF,Population Management,26-Sep-19,Remand - Accused
NRCF,MECF,Judicial,26-Sep-19,Remand - Accused
MECF,SHCF,Population Management,26-Sep-19,Remand - Convicted
SHCF,MECF,Judicial,26-Sep-19,Remand - Convicted
MECF,SHCF,Population Management,26-Sep-19,Remand - Convicted
MECF,Waikeria,Population Management,26-Sep-19,In Transit
MECF,SHCF,Population Management,26-Sep-19,Remand - Accused
MECF,SHCF,Population Management,26-Sep-19,Remand - Accused
SHCF,MECF,Judicial,26-Sep-19,Remand - Accused
ASCF,Auckland,Placement Management,26-Sep-19,Sentenced (High)
MECF,SHCF,Population Management,26-Sep-19,Remand - Accused
MECF,ASCF,Placement Review,26-Sep-19,Sentenced
SHCF,ASCF,Accepted for Programme,26-Sep-19,Sentenced (Low Medium)
SHCF,MECF,Judicial,26-Sep-19,Remand - Convicted
Rimutaka,Tongariro,Population Management,26-Sep-19,Sentenced (Minimum)
SHCF,MECF,Judicial,26-Sep-19,Remand - Accused
MECF,SHCF,Population Management,26-Sep-19,Remand - Accused
